regulator.values	target.values	mi.values	scc.values	count.values	log.p.values
ENSG00000198879	ENSG00000111647	0.000578139	0.00776243	1	-nan
ENSG00000196507	ENSG00000030110	0.000648141	0.00476616	1	-nan
ENSG00000196235	ENSG00000213585	0.108168	0.0182162	1	-nan
ENSG00000196235	ENSG00000131269	0.000338039	0.0278273	1	-nan
ENSG00000181222	ENSG00000100359	9.80338e-05	-0.0136756	1	-nan
ENSG00000181222	ENSG00000132824	0.000162009	0.0374955	1	-nan
ENSG00000181222	ENSG00000111231	3.20002e-05	-0.00296493	1	-nan
ENSG00000179833	ENSG00000215305	0.000968313	0.0618438	1	-nan
ENSG00000179833	ENSG00000136305	0.000128036	-0.0217906	1	-nan
ENSG00000179833	ENSG00000003402	0.0568869	-0.0163739	1	-nan
ENSG00000179833	ENSG00000116954	0.000200014	-0.000350043	1	-nan
ENSG00000179833	ENSG00000169230	0.0462752	0.0268191	1	-nan
ENSG00000179833	ENSG00000165115	0.000200014	0.0105035	1	-nan
ENSG00000179833	ENSG00000175294	0.0984835	0.0616663	5	-nan
ENSG00000179632	ENSG00000144224	0.0911629	0.119948	1	-nan
ENSG00000177700	ENSG00000170006	0.0780401	0.064265	1	-nan
ENSG00000177700	ENSG00000197956	0.380778	0.55683	1	-nan
ENSG00000172530	ENSG00000168488	0.00024199	0.00805638	1	-nan
ENSG00000171681	ENSG00000175567	9.80338e-05	-0.00238778	1	-nan
ENSG00000164134	ENSG00000108829	7.97003e-06	0.0138046	1	-nan
ENSG00000159259	ENSG00000196743	5.00004e-05	0.00398183	1	-nan
ENSG00000149136	ENSG00000162852	0.00125049	0.0746529	1	-nan
ENSG00000147601	ENSG00000187051	0.000512058	0.0424	1	-nan
ENSG00000163872	ENSG00000182173	0.000200014	-0.0412885	1	-nan
ENSG00000139372	ENSG00000065802	7.97003e-06	0.0258342	1	-nan
ENSG00000137193	ENSG00000173598	0.00024199	0.0273218	1	-nan
ENSG00000130165	ENSG00000104714	1.80299e-05	0.00861821	1	-nan
ENSG00000130165	ENSG00000107854	5.00004e-05	-0.000517854	1	-nan
ENSG00000124831	ENSG00000196924	0.0787786	0.201634	1	-nan
ENSG00000124831	ENSG00000183734	0.00480909	-0.00714827	1	-nan
ENSG00000123349	ENSG00000087086	0.784492	0.782388	1	-nan
ENSG00000123349	ENSG00000099817	0.0893314	0.0493942	1	-nan
ENSG00000123349	ENSG00000122008	0.077023	0.0403479	1	-nan
ENSG00000123349	ENSG00000196154	0.654873	0.733475	1	-nan
ENSG00000123349	ENSG00000113732	0.247035	0.418465	1	-nan
ENSG00000123349	ENSG00000093144	0.0898446	-0.0150249	1	-nan
ENSG00000123349	ENSG00000148700	0.0931054	0.0828513	1	-nan
ENSG00000119705	ENSG00000087086	0.240973	0.189819	1	-nan
ENSG00000119705	ENSG00000171700	0.162358	0.0570652	1	-nan
ENSG00000119705	ENSG00000139644	0.106278	0.134884	1	-nan
ENSG00000119705	ENSG00000174021	0.102197	0.162132	1	-nan
ENSG00000119705	ENSG00000158050	0.0570948	0.0447254	2	-nan
ENSG00000119705	ENSG00000205542	0.211099	0.204626	2	-nan
ENSG00000119705	ENSG00000129083	0.000200014	0.024428	1	-nan
ENSG00000118579	ENSG00000171634	0.0949835	0.0341992	1	-nan
ENSG00000118579	ENSG00000102897	0.000722174	0.0650623	1	-nan
ENSG00000118579	ENSG00000135148	0.00088229	0.0459504	1	-nan
ENSG00000118579	ENSG00000158195	0.0777857	0.0509249	1	-nan
ENSG00000118579	ENSG00000133561	0.0226814	0.00170897	1	-nan
ENSG00000118579	ENSG00000205542	0.195422	0.0649505	2	-nan
ENSG00000117751	ENSG00000168802	0.000128036	0.0425376	1	-nan
ENSG00000117751	ENSG00000102753	0.00115244	0.0372683	1	-nan
ENSG00000117751	ENSG00000163607	9.80338e-05	0.0406166	1	-nan
ENSG00000117751	ENSG00000153560	0.000722174	0.0528852	1	-nan
ENSG00000117751	ENSG00000178922	5.00004e-05	0.0156394	1	-nan
ENSG00000116560	ENSG00000165502	0.0885033	0.16977	1	-nan
ENSG00000108561	ENSG00000087086	0.217405	-0.0452805	1	-nan
ENSG00000108561	ENSG00000115875	0.121996	0.133627	1	-nan
ENSG00000106299	ENSG00000123143	0.000648141	0.0385957	1	-nan
ENSG00000106299	ENSG00000127663	5.00004e-05	0.0121725	1	-nan
ENSG00000106299	ENSG00000125827	7.19721e-05	0.0115554	1	-nan
ENSG00000106299	ENSG00000156127	3.20002e-05	0.0070492	1	-nan
ENSG00000106299	ENSG00000125304	0.000578139	0.0204741	2	-nan
ENSG00000106299	ENSG00000173598	0.000288058	-0.0129152	1	-nan
ENSG00000106299	ENSG00000087502	0.000288058	-0.0300857	1	-nan
ENSG00000106299	ENSG00000121316	0.000512058	0.00427369	1	-nan
ENSG00000106299	ENSG00000165006	0.000450066	0.0379095	1	-nan
ENSG00000105258	ENSG00000144566	0.000128036	0.0316317	1	-nan
ENSG00000105258	ENSG00000172785	0.00115244	0.0474985	1	-nan
ENSG00000104960	ENSG00000117054	0.000392051	0.055904	1	-nan
ENSG00000103510	ENSG00000108406	9.80338e-05	0.00698639	1	-nan
ENSG00000103510	ENSG00000140632	0.0547604	0.0327257	1	-nan
ENSG00000103510	ENSG00000118939	0.0421054	0.0204286	1	-nan
ENSG00000163939	ENSG00000143119	0.0172921	0.0167954	1	-nan
ENSG00000096401	ENSG00000160932	1.80299e-05	0.0219158	1	-nan
ENSG00000088992	ENSG00000188536	0.0455404	0.0584187	1	-nan
ENSG00000088992	ENSG00000136732	0.0536057	0.00412121	1	-nan
ENSG00000087191	ENSG00000177426	0.00024199	0.0317943	1	-nan
ENSG00000087191	ENSG00000240344	0.000968313	0.0430339	1	-nan
ENSG00000087191	ENSG00000005020	0.181915	0.00323196	1	-nan
ENSG00000087191	ENSG00000175550	0.129672	0.0520765	1	-nan
ENSG00000087191	ENSG00000148719	0.073996	0.0214261	1	-nan
ENSG00000221978	ENSG00000181523	0.000200014	0.0226962	1	-nan
ENSG00000221978	ENSG00000149806	0.000722174	-0.0461303	1	-nan
ENSG00000085224	ENSG00000223865	0.00209013	0.0298189	2	-nan
ENSG00000085224	ENSG00000186350	0.108478	0.0179065	1	-nan
ENSG00000049618	ENSG00000142546	0.0526091	0.0190727	1	-nan
ENSG00000049618	ENSG00000104805	0.0335867	0.0398534	3	-nan
ENSG00000049618	ENSG00000011600	0.0531214	-0.0728089	3	-nan
ENSG00000049618	ENSG00000123143	0.0759904	0.0637927	2	-nan
ENSG00000049618	ENSG00000104903	0.0410284	0.0238716	1	-nan
ENSG00000049618	ENSG00000215305	0.000968313	0.0633617	1	-nan
ENSG00000049618	ENSG00000178691	0.0444234	0.0457379	2	-nan
ENSG00000049618	ENSG00000140995	0.000288058	-0.0333522	1	-nan
ENSG00000049618	ENSG00000069974	0.00168291	0.0358727	1	-nan
ENSG00000049618	ENSG00000165959	0.0634821	0.0455209	3	-nan
ENSG00000049618	ENSG00000125304	0.0476039	-0.00797712	1	-nan
ENSG00000049618	ENSG00000120690	0.0294937	0.043313	3	-nan
ENSG00000049618	ENSG00000178996	0.00405551	0.069444	1	-nan
ENSG00000049618	ENSG00000084093	0.0222408	0.0706501	1	-nan
ENSG00000049618	ENSG00000163807	0.000128036	0.0471291	2	-nan
ENSG00000049618	ENSG00000158552	0.000450066	0.024855	1	-nan
