regulator.values	target.values	mi.values	scc.values	count.values	log.p.values
ENSG00000213626	ENSG00000233927	0.120847	0.123325	1	-0.674163
ENSG00000213626	ENSG00000213741	0.11843	0.116792	2	-1.84561
ENSG00000213626	ENSG00000177954	0.167013	0.11157	1	-0.674163
ENSG00000213626	ENSG00000071082	0.0797792	0.132969	1	-0.674163
ENSG00000186827	ENSG00000100316	0.0861013	-0.161054	1	-0.674163
ENSG00000186827	ENSG00000111144	0.021909	-0.0259852	1	-0.674163
ENSG00000186827	ENSG00000114784	0.0501118	0.00577484	1	-0.674163
ENSG00000186827	ENSG00000095380	0.0326997	0.00343922	1	-0.674163
ENSG00000171703	ENSG00000111300	0.00135264	0.0246746	1	-0.674163
ENSG00000171703	ENSG00000150093	0.00135264	0.00827747	1	-0.674163
ENSG00000166669	ENSG00000104998	0.0575292	-0.0170768	1	-0.674163
ENSG00000166669	ENSG00000072778	0.00311016	0.0213326	1	-0.674163
ENSG00000166669	ENSG00000132153	3.20002e-05	-0.0222679	1	-0.674163
ENSG00000164134	ENSG00000185808	0.000128036	-0.00397312	1	-0.674163
ENSG00000164134	ENSG00000186480	0.000338039	0.0446185	1	-0.674163
ENSG00000180628	ENSG00000177954	0.170577	-0.131456	1	-0.674163
ENSG00000159388	ENSG00000100316	0.128719	-0.333587	1	-0.674163
ENSG00000159388	ENSG00000105618	0.0020494	0.0480764	1	-0.674163
ENSG00000159388	ENSG00000233927	0.132516	-0.338827	1	-0.674163
ENSG00000159388	ENSG00000064601	0.000968313	0.0443749	1	-0.674163
ENSG00000159388	ENSG00000171867	0.000162009	0.0168258	1	-0.674163
ENSG00000159388	ENSG00000167526	0.148177	-0.34168	1	-0.674163
ENSG00000159388	ENSG00000213741	0.143012	-0.343442	1	-0.674163
ENSG00000159388	ENSG00000100906	0.0548837	0.250695	1	-0.674163
ENSG00000159388	ENSG00000174720	0.0631887	-0.00330349	1	-0.674163
ENSG00000159388	ENSG00000109475	0.16043	-0.335127	1	-0.674163
ENSG00000159388	ENSG00000163682	0.108503	-0.343953	1	-0.674163
ENSG00000159388	ENSG00000163584	0.00259425	0.0959965	1	-0.674163
ENSG00000159388	ENSG00000115232	0.000968313	-0.0231588	1	-0.674163
ENSG00000159388	ENSG00000177954	0.217307	-0.346092	1	-0.674163
ENSG00000159388	ENSG00000142937	0.120956	-0.335614	2	-1.84561
ENSG00000159388	ENSG00000198821	0.0647811	-0.0527862	1	-0.674163
ENSG00000159388	ENSG00000158050	0.0649093	0.283297	1	-0.674163
ENSG00000159388	ENSG00000105810	0.00105838	0.0537452	1	-0.674163
ENSG00000159388	ENSG00000107099	2.00002e-06	-0.00233533	1	-0.674163
ENSG00000159388	ENSG00000177600	0.130127	-0.340959	1	-0.674163
ENSG00000159388	ENSG00000213465	0.0348377	0.0242217	1	-0.674163
ENSG00000158796	ENSG00000099860	0.000128036	-0.0132737	1	-0.674163
ENSG00000152455	ENSG00000124942	0.000200014	0.00207988	1	-0.674163
