regulator.values	target.values	mi.values	scc.values	count.values	log.p.values
ENSG00000189266	ENSG00000205581	0.0661535	0.0224056	1	-3.42029
ENSG00000189266	ENSG00000025708	0.136109	-0.0387566	2	-7.5423
ENSG00000189266	ENSG00000100380	0.0718599	-0.0124422	6	-27.3339
ENSG00000189266	ENSG00000100097	0.000800181	-0.0641025	2	-7.5423
ENSG00000189266	ENSG00000128309	0.039729	0.289069	1	-3.42029
ENSG00000189266	ENSG00000104894	0.046229	-0.00939932	2	-7.5423
ENSG00000189266	ENSG00000087086	0.092796	-0.377938	1	-3.42029
ENSG00000189266	ENSG00000130208	0.0620201	0.0161778	2	-7.5423
ENSG00000189266	ENSG00000011600	0.00387704	-0.0636348	1	-3.42029
ENSG00000189266	ENSG00000105701	0.0989022	-0.352539	3	-12.0871
ENSG00000189266	ENSG00000179218	0.0798761	0.173908	3	-12.0871
ENSG00000189266	ENSG00000105583	0.116473	0.124713	3	-12.0871
ENSG00000189266	ENSG00000129355	0.0169266	-0.00760985	1	-3.42029
ENSG00000189266	ENSG00000076944	0.0856728	0.0461149	1	-3.42029
ENSG00000189266	ENSG00000167468	0.0674572	-0.0400845	1	-3.42029
ENSG00000189266	ENSG00000197561	0.00259425	-0.012198	3	-12.0871
ENSG00000189266	ENSG00000175063	0.00721738	0.207262	1	-3.42029
ENSG00000189266	ENSG00000171552	0.0574808	-0.18856	2	-7.5423
ENSG00000189266	ENSG00000089006	0.000800181	0.104696	1	-3.42029
ENSG00000189266	ENSG00000134759	0.0171719	0.0736528	1	-3.42029
ENSG00000189266	ENSG00000101782	0.00927676	-0.192583	1	-3.42029
ENSG00000189266	ENSG00000132471	0.00927676	-0.0501224	1	-3.42029
ENSG00000189266	ENSG00000007312	0.0775505	0.0697735	1	-3.42029
ENSG00000189266	ENSG00000213246	0.130355	0.080783	1	-3.42029
ENSG00000189266	ENSG00000108826	0.0271588	0.191002	1	-3.42029
ENSG00000189266	ENSG00000108344	0.0548006	0.279848	2	-7.5423
ENSG00000189266	ENSG00000271503	0.102325	0.0485933	1	-3.42029
ENSG00000189266	ENSG00000170315	0.150788	-0.393166	4	-16.9391
ENSG00000189266	ENSG00000106052	0.0855935	-0.0687267	2	-7.5423
ENSG00000189266	ENSG00000106266	0.0629679	0.195976	1	-3.42029
ENSG00000189266	ENSG00000112031	0.0774585	0.136396	3	-12.0871
ENSG00000189266	ENSG00000164442	0.00721738	0.208281	1	-3.42029
ENSG00000189266	ENSG00000146143	0.000800181	0.0672767	1	-3.42029
ENSG00000189266	ENSG00000204287	0.152529	-0.197843	6	-27.3339
ENSG00000189266	ENSG00000213719	0.00387704	-0.00077838	1	-3.42029
ENSG00000189266	ENSG00000204482	0.0432632	0.0199088	1	-3.42029
ENSG00000189266	ENSG00000227507	0.0719506	-0.12895	2	-7.5423
ENSG00000189266	ENSG00000113732	0.0456914	0.018147	2	-7.5423
ENSG00000189266	ENSG00000164611	0.141156	0.208486	4	-16.9391
ENSG00000189266	ENSG00000113141	0.170677	0.108182	7	-32.809
ENSG00000189266	ENSG00000119048	0.00259425	-0.00718667	1	-3.42029
ENSG00000189266	ENSG00000164398	0.0141791	0.132396	1	-3.42029
ENSG00000189266	ENSG00000173221	0.00927676	0.170322	1	-3.42029
ENSG00000189266	ENSG00000145649	0.0789195	0.0731804	6	-27.3339
ENSG00000189266	ENSG00000113088	0.0364259	0.0842291	1	-3.42029
ENSG00000189266	ENSG00000145335	0.143362	-0.386128	4	-16.9391
ENSG00000189266	ENSG00000145216	0.0670241	0.136667	1	-3.42029
ENSG00000189266	ENSG00000170891	0.00541779	0.0710968	2	-7.5423
ENSG00000189266	ENSG00000043093	3.20002e-05	0.0755021	1	-3.42029
ENSG00000189266	ENSG00000169714	0.0322112	0.0121995	1	-3.42029
ENSG00000189266	ENSG00000114030	0.00259425	-0.0108555	1	-3.42029
ENSG00000189266	ENSG00000144848	0.0274911	0.055818	2	-7.5423
ENSG00000189266	ENSG00000144746	0.0319091	0.0306157	1	-3.42029
ENSG00000189266	ENSG00000178035	0.00541779	0.0706206	2	-7.5423
ENSG00000189266	ENSG00000068745	0.0606888	0.190226	1	-3.42029
