regulator.values	target.values	mi.values	scc.values	count.values	log.p.values
ENSG00000213626	ENSG00000132581	3.20002e-05	-0.0334788	1	-2.79742
ENSG00000196290	ENSG00000105186	0.000288058	0.100531	1	-2.79742
ENSG00000196290	ENSG00000169972	0.00156882	0.0842652	1	-2.79742
ENSG00000196290	ENSG00000181929	0.0251786	-0.131976	1	-2.79742
ENSG00000196284	ENSG00000112511	3.20002e-05	0.00303173	1	-2.79742
ENSG00000196284	ENSG00000106397	0.00156882	-0.0340917	1	-2.79742
ENSG00000196507	ENSG00000154217	0.0616789	0.01429	1	-2.79742
ENSG00000196507	ENSG00000108528	0.042455	0.0292954	1	-2.79742
ENSG00000196507	ENSG00000165271	0.0450961	-0.194549	1	-2.79742
ENSG00000196507	ENSG00000135069	3.20002e-05	-0.0187629	1	-2.79742
ENSG00000196507	ENSG00000148248	0.0379934	0.0770481	1	-2.79742
ENSG00000196507	ENSG00000185238	0.0688881	0.0415337	1	-2.79742
ENSG00000196507	ENSG00000111679	0.000288058	-0.110264	1	-2.79742
ENSG00000196507	ENSG00000131979	0.0265108	-0.00709451	1	-2.79742
ENSG00000180628	ENSG00000100060	0.00541779	-0.0172469	1	-2.79742
ENSG00000180628	ENSG00000189050	3.20002e-05	0.0465473	1	-2.79742
ENSG00000180628	ENSG00000175416	0.00156882	-0.11024	1	-2.79742
ENSG00000180628	ENSG00000117262	0.0253051	-0.0574231	1	-2.79742
ENSG00000180628	ENSG00000197006	0.0220497	-0.12775	1	-2.79742
ENSG00000179632	ENSG00000105197	0.00541779	0.105025	1	-2.79742
ENSG00000179632	ENSG00000125656	0.0247045	0.0710369	2	-6.28663
ENSG00000179632	ENSG00000111843	0.0646392	0.0494949	1	-2.79742
ENSG00000179632	ENSG00000143977	3.20002e-05	0.0456887	1	-2.79742
ENSG00000179632	ENSG00000126759	0.000288058	-0.00208554	1	-2.79742
ENSG00000179632	ENSG00000147443	0.0519039	0.0581289	1	-2.79742
ENSG00000179632	ENSG00000164751	0.0250765	0.1028	1	-2.79742
ENSG00000179632	ENSG00000127314	0.00259425	-0.129318	1	-2.79742
ENSG00000179632	ENSG00000182149	0.000800181	0.0467439	1	-2.79742
ENSG00000175792	ENSG00000196365	0.0440843	-0.0962346	1	-2.79742
ENSG00000175792	ENSG00000101298	0.0531078	-0.0733072	1	-2.79742
ENSG00000175792	ENSG00000102385	0.000800181	-0.0536783	1	-2.79742
ENSG00000175792	ENSG00000180304	0.00156882	-0.0740299	1	-2.79742
ENSG00000175792	ENSG00000138629	0.0249168	-0.0363059	1	-2.79742
ENSG00000166848	ENSG00000034693	0.0280465	0.115331	1	-2.79742
ENSG00000166848	ENSG00000159214	0.000288058	0.0185133	1	-2.79742
ENSG00000166848	ENSG00000197635	3.20002e-05	-0.0113647	1	-2.79742
ENSG00000165916	ENSG00000156261	0.0944218	0.226164	1	-2.79742
ENSG00000165916	ENSG00000196419	0.000800181	0.0210347	1	-2.79742
ENSG00000165916	ENSG00000244509	0.0467698	0.0780919	1	-2.79742
ENSG00000165916	ENSG00000083845	0.0473829	0.0346155	3	-10.1961
ENSG00000165916	ENSG00000142534	0.115367	0.000405895	10	-43.7607
ENSG00000165916	ENSG00000104872	0.0182586	0.00241348	1	-2.79742
ENSG00000165916	ENSG00000012061	0.0477869	0.0129045	1	-2.79742
ENSG00000165916	ENSG00000013275	0.0674251	-0.0636555	3	-10.1961
ENSG00000165916	ENSG00000141682	0.0243357	-0.112451	1	-2.79742
ENSG00000165916	ENSG00000091164	0.0911816	-0.0332615	1	-2.79742
ENSG00000165916	ENSG00000126581	0.0790233	0.0844886	1	-2.79742
ENSG00000165916	ENSG00000108298	0.0935581	0.01284	3	-10.1961
ENSG00000165916	ENSG00000161970	0.0880393	0.0388042	2	-6.28663
ENSG00000165916	ENSG00000108561	0.0321603	0.0428109	1	-2.79742
ENSG00000165916	ENSG00000140941	0.0477656	-0.0116627	1	-2.79742
ENSG00000165916	ENSG00000112306	0.156761	0.0261312	6	-23.5326
ENSG00000165916	ENSG00000198755	0.0896849	-0.0216069	4	-14.4118
ENSG00000165916	ENSG00000240065	0.097711	0.0334688	4	-14.4118
ENSG00000165916	ENSG00000169220	0.0322641	0.0310358	1	-2.79742
ENSG00000165916	ENSG00000146066	0.0938824	0.0660064	2	-6.28663
ENSG00000165916	ENSG00000120129	0.0934423	0.0811463	2	-6.28663
ENSG00000165916	ENSG00000181163	0.0442196	-0.0872151	1	-2.79742
ENSG00000165916	ENSG00000038274	0.0473207	0.0493959	1	-2.79742
ENSG00000165916	ENSG00000150753	0.10053	0.11166	2	-6.28663
ENSG00000165916	ENSG00000163319	0.0226334	0.0478268	1	-2.79742
ENSG00000165916	ENSG00000138459	0.0377852	0.0302647	1	-2.79742
ENSG00000165916	ENSG00000114902	0.045213	0.0408287	3	-10.1961
ENSG00000165916	ENSG00000117091	0.0707217	0.174619	4	-14.4118
ENSG00000165916	ENSG00000162645	0.000288058	0.108432	1	-2.79742
ENSG00000165916	ENSG00000084623	3.20002e-05	-0.0877673	1	-2.79742
ENSG00000165916	ENSG00000181817	0.0383048	0.105169	1	-2.79742
ENSG00000165916	ENSG00000117410	0.0871714	0.00755839	1	-2.79742
ENSG00000165916	ENSG00000142937	0.137307	0.05454	6	-23.5326
ENSG00000165916	ENSG00000143727	0.0470447	-0.0696115	1	-2.79742
ENSG00000165916	ENSG00000196975	0.0320474	0.0999887	1	-2.79742
ENSG00000165916	ENSG00000163541	0.0183642	-0.0678696	1	-2.79742
ENSG00000165916	ENSG00000130066	0.0795543	0.0602725	2	-6.28663
ENSG00000165916	ENSG00000198034	0.0870747	0.0393625	2	-6.28663
ENSG00000165916	ENSG00000148303	0.154066	0.0174028	4	-14.4118
ENSG00000165916	ENSG00000185201	0.036001	0.0658137	1	-2.79742
ENSG00000165916	ENSG00000177105	0.0205628	0.0285535	1	-2.79742
ENSG00000165916	ENSG00000175348	0.0984118	0.16057	4	-14.4118
ENSG00000165916	ENSG00000166927	0.0451072	0.0671262	1	-2.79742
ENSG00000165916	ENSG00000168002	0.0303927	0.108923	1	-2.79742
ENSG00000165916	ENSG00000168003	0.112643	0.120346	2	-6.28663
ENSG00000165916	ENSG00000149357	0.0929147	0.00830336	1	-2.79742
ENSG00000165916	ENSG00000026025	0.0930389	0.0365163	2	-6.28663
ENSG00000165916	ENSG00000139180	0.0390025	-0.0948069	5	-18.8706
ENSG00000165916	ENSG00000111716	0.0194899	-0.0187199	1	-2.79742
ENSG00000165916	ENSG00000139350	0.0763976	0.0010756	1	-2.79742
ENSG00000165916	ENSG00000089248	0.0995404	-0.0792593	1	-2.79742
ENSG00000165916	ENSG00000089157	0.104663	0.0391813	1	-2.79742
ENSG00000165916	ENSG00000088986	0.017244	0.0282064	1	-2.79742
ENSG00000165916	ENSG00000133112	0.105379	0.0297332	5	-18.8706
ENSG00000165916	ENSG00000165502	0.0166133	0.0742096	2	-6.28663
ENSG00000165916	ENSG00000180304	0.0809528	0.0568287	3	-10.1961
ENSG00000165916	ENSG00000185043	0.0493048	-0.0354641	1	-2.79742
ENSG00000165916	ENSG00000178952	0.0567326	-0.0314259	1	-2.79742
ENSG00000165632	ENSG00000204424	0.0252619	0.0544463	1	-2.79742
ENSG00000163517	ENSG00000105698	0.0401874	0.0260813	1	-2.79742
ENSG00000163517	ENSG00000197122	0.0162364	0.0657599	1	-2.79742
ENSG00000163517	ENSG00000112195	0.000288058	-0.0113385	1	-2.79742
ENSG00000162851	ENSG00000142168	0.0558911	0.0910989	1	-2.79742
ENSG00000162851	ENSG00000167900	0.00156882	0.0172722	1	-2.79742
ENSG00000162851	ENSG00000106066	0.000288058	0.00107023	1	-2.79742
ENSG00000162851	ENSG00000113070	0.000288058	0.0353666	1	-2.79742
ENSG00000162851	ENSG00000172172	0.0251743	0.00535113	1	-2.79742
ENSG00000162851	ENSG00000075188	0.000288058	-0.0288807	1	-2.79742
ENSG00000155868	ENSG00000166821	0.0141791	-0.206055	1	-2.79742
ENSG00000155868	ENSG00000103343	0.00387704	-0.0633314	1	-2.79742
ENSG00000147669	ENSG00000083845	0.0195443	-0.0234178	1	-2.79742
ENSG00000147669	ENSG00000126246	0.0456749	0.0439929	1	-2.79742
ENSG00000147669	ENSG00000216490	0.000288058	0.000461959	1	-2.79742
ENSG00000147669	ENSG00000141552	0.0359898	0.0329312	1	-2.79742
ENSG00000147669	ENSG00000141030	0.00387704	0.0442502	1	-2.79742
ENSG00000147669	ENSG00000161970	0.0798759	-0.0565161	5	-18.8706
ENSG00000147669	ENSG00000198755	0.132968	0.0141257	13	-60.2358
ENSG00000147669	ENSG00000204264	0.0220999	0.0275774	1	-2.79742
ENSG00000147669	ENSG00000169230	0.000800181	0.00115931	1	-2.79742
ENSG00000147669	ENSG00000249915	0.032801	-0.00316383	1	-2.79742
ENSG00000147669	ENSG00000114902	0.000800181	0.0352161	1	-2.79742
ENSG00000147669	ENSG00000158869	0.0459274	0.00113167	1	-2.79742
ENSG00000147669	ENSG00000000938	0.0345117	0.0242819	1	-2.79742
ENSG00000147669	ENSG00000142937	0.0687368	0.0103294	1	-2.79742
ENSG00000147669	ENSG00000084754	0.076515	0.014833	1	-2.79742
ENSG00000147669	ENSG00000115806	3.20002e-05	-0.0354142	1	-2.79742
ENSG00000147669	ENSG00000102265	0.0972431	-0.0967799	1	-2.79742
ENSG00000147669	ENSG00000126759	0.145997	0.101023	4	-14.4118
ENSG00000147669	ENSG00000198034	0.085863	-0.0041945	1	-2.79742
ENSG00000147669	ENSG00000126945	0.00387704	0.10099	1	-2.79742
ENSG00000147669	ENSG00000130830	0.0446801	0.110052	1	-2.79742
ENSG00000147669	ENSG00000148303	0.119716	0.00722661	3	-10.1961
ENSG00000147669	ENSG00000185201	0.0431683	-9.02414e-05	1	-2.79742
ENSG00000147669	ENSG00000177156	0.0222834	-0.0334704	1	-2.79742
ENSG00000147669	ENSG00000026025	0.000288058	0.0697213	1	-2.79742
ENSG00000147669	ENSG00000127884	0.0754765	-0.140021	1	-2.79742
ENSG00000147669	ENSG00000121316	0.00259425	0.113503	1	-2.79742
ENSG00000147669	ENSG00000111716	0.000800181	0.0525539	1	-2.79742
ENSG00000147669	ENSG00000089248	3.20002e-05	0.0292056	1	-2.79742
ENSG00000147669	ENSG00000133112	0.115082	-0.0557857	3	-10.1961
ENSG00000147099	ENSG00000105401	0.0538436	0.000273796	1	-2.79742
ENSG00000144354	ENSG00000232838	0.0115969	0.252361	1	-2.79742
ENSG00000141026	ENSG00000096080	0.0375702	0.0597379	1	-2.79742
ENSG00000141026	ENSG00000160058	0.00387704	0.00608765	1	-2.79742
ENSG00000139546	ENSG00000185973	0.000288058	0.0564608	1	-2.79742
ENSG00000139546	ENSG00000140474	0.000288058	0.0435282	1	-2.79742
ENSG00000139372	ENSG00000100314	0.023136	0.0194426	1	-2.79742
ENSG00000139372	ENSG00000105379	0.0168722	-0.115723	1	-2.79742
ENSG00000139372	ENSG00000117461	0.000288058	0.0128661	1	-2.79742
ENSG00000136144	ENSG00000259207	0.0272845	-0.0531376	1	-2.79742
ENSG00000136144	ENSG00000204392	3.20002e-05	-0.00362233	1	-2.79742
ENSG00000136144	ENSG00000196072	0.0228784	0.00390726	1	-2.79742
ENSG00000132600	ENSG00000168884	3.20002e-05	0.0316133	1	-2.79742
ENSG00000132600	ENSG00000143553	0.0448587	-0.0404017	1	-2.79742
ENSG00000132600	ENSG00000167081	0.0652514	-0.0243656	1	-2.79742
ENSG00000132600	ENSG00000198728	0.0330368	-0.0320541	1	-2.79742
ENSG00000130165	ENSG00000083845	0.142005	-0.00105486	6	-23.5326
ENSG00000130165	ENSG00000142534	0.162528	-0.0619268	13	-60.2358
ENSG00000130165	ENSG00000105583	0.0564097	-0.00229136	1	-2.79742
ENSG00000130165	ENSG00000172809	0.0897819	-0.103132	2	-6.28663
ENSG00000130165	ENSG00000239672	0.115403	-0.00251102	1	-2.79742
ENSG00000130165	ENSG00000108298	0.133125	-0.028532	10	-43.7607
ENSG00000130165	ENSG00000126860	0.0538842	-0.0139844	1	-2.79742
ENSG00000130165	ENSG00000161970	0.148078	-0.0358105	6	-23.5326
ENSG00000130165	ENSG00000001036	0.0905712	-0.0510287	1	-2.79742
ENSG00000130165	ENSG00000112306	0.126175	-0.046426	6	-23.5326
ENSG00000130165	ENSG00000198755	0.096377	-0.0645764	5	-18.8706
ENSG00000130165	ENSG00000242574	0.0500283	0.00477665	1	-2.79742
ENSG00000130165	ENSG00000204264	0.0634543	0.0249884	1	-2.79742
ENSG00000130165	ENSG00000204568	0.106429	0.00861825	2	-6.28663
ENSG00000130165	ENSG00000145088	0.0379271	0.0547228	1	-2.79742
ENSG00000130165	ENSG00000163479	0.0497495	-0.0854341	1	-2.79742
ENSG00000130165	ENSG00000028137	0.00156882	-0.0901082	1	-2.79742
ENSG00000130165	ENSG00000142937	0.133279	-0.0561697	6	-23.5326
ENSG00000130165	ENSG00000117450	0.0583526	-0.0110452	1	-2.79742
