regulator.values	target.values	mi.values	scc.values	count.values	log.p.values
ENSG00000165916	ENSG00000115464	0.000288058	0.0198169	1	-nan
ENSG00000164587	ENSG00000100316	1.00013	0.915588	17	-nan
ENSG00000164587	ENSG00000170889	0.734229	0.810389	13	-nan
ENSG00000164587	ENSG00000142541	0.928821	0.92042	17	-nan
ENSG00000164587	ENSG00000105193	0.810213	0.844829	8	-nan
ENSG00000164587	ENSG00000011600	0.397305	0.12873	4	-nan
ENSG00000164587	ENSG00000105640	0.89812	0.892135	17	-nan
ENSG00000164587	ENSG00000233927	0.982458	0.900319	17	-nan
ENSG00000164587	ENSG00000130255	0.90075	0.890932	8	-nan
ENSG00000164587	ENSG00000171858	0.784056	0.846804	11	-nan
ENSG00000164587	ENSG00000184009	0.309617	0.174058	1	-nan
ENSG00000164587	ENSG00000172809	0.676413	0.839017	4	-nan
ENSG00000164587	ENSG00000198242	0.954261	0.893344	17	-nan
ENSG00000164587	ENSG00000075624	0.585907	0.538417	1	-nan
ENSG00000164587	ENSG00000112306	1.04041	0.916927	17	-nan
ENSG00000164587	ENSG00000198755	0.779947	0.848571	2	-nan
ENSG00000164587	ENSG00000231500	0.98284	0.909147	17	-nan
ENSG00000164587	ENSG00000186468	0.937683	0.886016	17	-nan
ENSG00000164587	ENSG00000168685	0.173093	0.315692	1	-nan
ENSG00000164587	ENSG00000109475	1.04934	0.928368	17	-nan
ENSG00000164587	ENSG00000159674	0.278455	-0.092862	1	-nan
ENSG00000164587	ENSG00000182899	0.909597	0.881114	6	-nan
ENSG00000164587	ENSG00000175040	0.186436	-0.123519	9	-nan
ENSG00000164587	ENSG00000203747	0.352125	0.00929841	2	-nan
ENSG00000164587	ENSG00000158869	0.365498	-0.0911475	5	-nan
ENSG00000164587	ENSG00000177954	1.11393	0.932817	17	-nan
ENSG00000164587	ENSG00000169442	0.459327	0.729996	5	-nan
ENSG00000164587	ENSG00000142937	0.848145	0.882122	17	-nan
ENSG00000164587	ENSG00000177606	0.257081	-0.386034	1	-nan
ENSG00000164587	ENSG00000071082	0.856043	0.899899	17	-nan
ENSG00000164587	ENSG00000168028	0.755957	0.835936	2	-nan
ENSG00000164587	ENSG00000188846	0.822494	0.872999	17	-nan
ENSG00000164587	ENSG00000198034	0.935522	0.893832	17	-nan
ENSG00000164587	ENSG00000241343	0.607211	0.758537	1	-nan
ENSG00000164587	ENSG00000008988	0.74325	0.855558	13	-nan
ENSG00000164587	ENSG00000156482	0.948154	0.895115	17	-nan
ENSG00000164587	ENSG00000161016	0.758379	0.839976	1	-nan
ENSG00000164587	ENSG00000169583	0.245588	-0.0725962	4	-nan
ENSG00000164587	ENSG00000166441	0.82475	0.871512	17	-nan
ENSG00000164587	ENSG00000110700	0.805343	0.864835	10	-nan
ENSG00000164587	ENSG00000149273	1.02114	0.911418	17	-nan
ENSG00000164587	ENSG00000167286	0.211377	0.414353	2	-nan
ENSG00000164587	ENSG00000180644	0.364024	0.135416	11	-nan
ENSG00000164587	ENSG00000150045	0.340568	-0.00252955	1	-nan
ENSG00000164587	ENSG00000197728	0.737647	0.857062	17	-nan
ENSG00000164587	ENSG00000100453	0.434012	0.174774	5	-nan
ENSG00000164587	ENSG00000213741	1.03216	0.925028	17	-nan
ENSG00000164587	ENSG00000140988	0.923323	0.905991	17	-nan
ENSG00000164587	ENSG00000108518	0.655776	0.529866	2	-nan
ENSG00000163660	ENSG00000257591	0.000430284	0.056491	1	-nan
ENSG00000161547	ENSG00000196154	0.218408	0.367825	1	-nan
ENSG00000213626	ENSG00000153395	0.0580022	-0.00987947	1	-nan
ENSG00000153406	ENSG00000171148	3.58536e-06	0.0144169	1	-nan
ENSG00000147669	ENSG00000133398	0.000174202	-0.0138196	1	-nan
