regulator.values	target.values	mi.values	scc.values	count.values	log.p.values
ENSG00000196507	ENSG00000160218	0.000174202	0.0321364	2	-nan
ENSG00000196507	ENSG00000196083	0.000800181	0.061069	1	-nan
ENSG00000196459	ENSG00000162613	8.88915e-05	0.0219533	2	-nan
ENSG00000180964	ENSG00000148290	3.58536e-06	-0.0452839	1	-nan
ENSG00000180964	ENSG00000169715	0.000288058	-0.0142959	1	-nan
ENSG00000179632	ENSG00000221963	0.00156882	0.111256	1	-nan
ENSG00000179632	ENSG00000182173	0.0635878	0.0963287	2	-nan
ENSG00000179632	ENSG00000087191	0.100186	-0.0219145	1	-nan
ENSG00000179632	ENSG00000112245	0.00128411	0.0513519	1	-nan
ENSG00000179632	ENSG00000170571	0.00060101	0.0169703	1	-nan
ENSG00000179632	ENSG00000198189	0.0697939	0.058901	1	-nan
ENSG00000179632	ENSG00000072274	0.00222391	0.042214	1	-nan
ENSG00000179632	ENSG00000115756	0.00188204	0.0717168	1	-nan
ENSG00000179632	ENSG00000034677	0.0687997	0.106478	1	-nan
ENSG00000179632	ENSG00000244734	0.062958	0.180007	2	-nan
ENSG00000179632	ENSG00000129518	0.0848267	-0.0089699	1	-nan
ENSG00000179632	ENSG00000103266	0.083756	0.0143858	1	-nan
ENSG00000177700	ENSG00000182670	0.0146886	0.11487	1	-nan
ENSG00000177700	ENSG00000105374	0.108585	0.211945	1	-nan
ENSG00000177700	ENSG00000141027	0.132359	0.0904017	1	-nan
ENSG00000177700	ENSG00000060688	0.062728	0.0649748	1	-nan
ENSG00000177700	ENSG00000243943	8.88915e-05	0.0906745	1	-nan
ENSG00000177700	ENSG00000158417	0.0369863	0.0371525	1	-nan
ENSG00000177700	ENSG00000188021	0.128002	0.1165	1	-nan
ENSG00000177700	ENSG00000104388	0.101455	0.139441	1	-nan
ENSG00000177700	ENSG00000139193	0.114601	0.0109374	1	-nan
ENSG00000177700	ENSG00000100764	0.0814993	0.0913801	1	-nan
ENSG00000166669	ENSG00000011523	0.00128411	0.0180515	1	-nan
ENSG00000163346	ENSG00000205542	0.148941	0.00689672	1	-nan
ENSG00000163346	ENSG00000123416	0.185996	0.200248	1	-nan
ENSG00000161547	ENSG00000170892	0.00342076	0.114793	1	-nan
ENSG00000161547	ENSG00000125827	0.0338161	0.130989	1	-nan
ENSG00000161547	ENSG00000197971	0.0808244	0.0571037	1	-nan
ENSG00000161547	ENSG00000122674	3.58536e-06	0.0384395	1	-nan
ENSG00000161547	ENSG00000198856	0.0564204	0.0467379	1	-nan
ENSG00000161547	ENSG00000197249	0.000288058	-0.0168007	1	-nan
ENSG00000161547	ENSG00000140983	0.000800181	0.103398	1	-nan
ENSG00000161547	ENSG00000149932	0.130747	0.236032	1	-nan
ENSG00000159388	ENSG00000128016	0.289188	0.553501	1	-nan
ENSG00000159388	ENSG00000227057	0.00060101	0.0325757	1	-nan
ENSG00000159388	ENSG00000177606	0.393888	0.669035	1	-nan
ENSG00000148334	ENSG00000104381	0.000430284	0.055654	1	-nan
ENSG00000148334	ENSG00000111653	8.88915e-05	0.0191225	1	-nan
ENSG00000148334	ENSG00000213145	3.20002e-05	0.0400152	1	-nan
ENSG00000147669	ENSG00000221963	0.151347	0.10484	2	-nan
ENSG00000147669	ENSG00000128185	0.0421699	0.0824371	1	-nan
ENSG00000147669	ENSG00000105483	0.122744	0.0208959	1	-nan
ENSG00000147669	ENSG00000105372	0.188667	0.0900662	1	-nan
ENSG00000147669	ENSG00000109475	0.206103	0.0984643	2	-nan
ENSG00000147669	ENSG00000071082	0.132564	0.102392	2	-nan
ENSG00000147669	ENSG00000162980	0.00927676	0.119451	1	-nan
ENSG00000147669	ENSG00000144381	0.000174202	-0.0474716	1	-nan
ENSG00000147669	ENSG00000147403	0.194581	0.105121	1	-nan
ENSG00000147669	ENSG00000109854	0.00188204	0.119091	1	-nan
ENSG00000147669	ENSG00000068831	0.017575	0.0269257	1	-nan
ENSG00000147669	ENSG00000167552	0.019069	0.225221	1	-nan
ENSG00000147669	ENSG00000110801	0.0463433	0.022639	1	-nan
ENSG00000147669	ENSG00000103657	0.00060101	0.0276309	1	-nan
ENSG00000147669	ENSG00000005339	0.000174202	0.02388	1	-nan
ENSG00000147669	ENSG00000122257	0.00342076	0.129575	1	-nan
ENSG00000147669	ENSG00000167526	0.170285	0.0898067	1	-nan
ENSG00000147601	ENSG00000160299	3.58536e-06	0.0158956	1	-nan
ENSG00000147601	ENSG00000160194	3.20002e-05	0.0370186	1	-nan
ENSG00000147601	ENSG00000100413	3.20002e-05	0.0196207	2	-nan
ENSG00000147601	ENSG00000187051	0.000174202	0.0547977	1	-nan
ENSG00000147601	ENSG00000100348	0.000430284	0.0221039	1	-nan
ENSG00000147601	ENSG00000182944	8.88915e-05	0.0361357	1	-nan
ENSG00000147601	ENSG00000170892	0.000174202	0.043065	1	-nan
ENSG00000147601	ENSG00000126464	0.000288058	0.0204855	1	-nan
ENSG00000147601	ENSG00000196562	0.000430284	0.102036	1	-nan
ENSG00000147601	ENSG00000101335	3.58536e-06	0.0223535	1	-nan
ENSG00000147601	ENSG00000101224	3.58536e-06	0.052278	1	-nan
ENSG00000147601	ENSG00000271503	0.000288058	0.102449	1	-nan
ENSG00000147601	ENSG00000106348	3.20002e-05	0.00684069	1	-nan
ENSG00000147601	ENSG00000171476	0.00259425	0.0796657	1	-nan
ENSG00000147601	ENSG00000119820	0.000800181	0.0226802	2	-nan
ENSG00000147601	ENSG00000119812	0.00060101	0.0619861	1	-nan
ENSG00000147601	ENSG00000163171	0.000174202	0.0136727	1	-nan
ENSG00000147601	ENSG00000115310	0.00436193	0.0784683	1	-nan
ENSG00000147601	ENSG00000040933	0.000430284	0.0402908	1	-nan
ENSG00000147601	ENSG00000147439	0.0644718	0.0716316	2	-nan
ENSG00000147601	ENSG00000008988	0.0251074	0.00138813	2	-nan
ENSG00000147601	ENSG00000166224	0.00102794	-0.0139756	1	-nan
ENSG00000147601	ENSG00000008517	0.000800181	0.034467	1	-nan
ENSG00000147601	ENSG00000169715	0.00259425	0.108659	1	-nan
ENSG00000144802	ENSG00000105372	0.067934	-0.0121039	1	-nan
ENSG00000144802	ENSG00000172216	0.00925647	0.0959496	1	-nan
ENSG00000144802	ENSG00000120129	0.106729	0.208028	2	-nan
ENSG00000144802	ENSG00000109475	0.12118	0.00908012	2	-nan
ENSG00000144802	ENSG00000162645	0.00060101	0.0181068	1	-nan
ENSG00000144802	ENSG00000162980	0.0497446	0.0289249	2	-nan
ENSG00000144802	ENSG00000101901	0.0474967	0.0872247	1	-nan
ENSG00000144802	ENSG00000147403	0.0702251	0.00533447	2	-nan
ENSG00000144802	ENSG00000229117	0.120273	-0.0136005	1	-nan
ENSG00000144802	ENSG00000100906	0.123976	0.271379	2	-nan
ENSG00000143164	ENSG00000164691	0.000430284	0.0744968	1	-nan
ENSG00000143164	ENSG00000125347	0.00299321	0.12192	1	-nan
ENSG00000143164	ENSG00000078668	0.000174202	0.0596984	1	-nan
ENSG00000143157	ENSG00000212993	0.00436193	0.0422435	1	-nan
ENSG00000141026	ENSG00000077152	8.88915e-05	-0.0532444	1	-nan
ENSG00000139613	ENSG00000149091	0.0525856	0.0627775	1	-nan
ENSG00000139372	ENSG00000115816	3.58536e-06	0.0660613	1	-nan
ENSG00000139372	ENSG00000122257	0.0471525	0.113399	2	-nan
ENSG00000139372	ENSG00000230989	0.00060101	0.0467184	1	-nan
ENSG00000137776	ENSG00000170638	0.0670002	0.073611	1	-nan
ENSG00000137776	ENSG00000100216	0.000288058	0.0383274	1	-nan
ENSG00000137776	ENSG00000108106	0.00060101	0.0880218	1	-nan
ENSG00000137776	ENSG00000170892	0.000430284	0.00397072	1	-nan
ENSG00000137776	ENSG00000101224	0.0324704	0.0380084	1	-nan
ENSG00000137776	ENSG00000249915	0.126082	0.156218	2	-nan
ENSG00000137776	ENSG00000114125	3.20002e-05	-0.00449791	2	-nan
ENSG00000137776	ENSG00000163468	0.00060101	0.0386012	1	-nan
ENSG00000137776	ENSG00000197976	0.00387704	0.137106	1	-nan
ENSG00000137776	ENSG00000071537	0.00259425	0.0970584	1	-nan
ENSG00000137776	ENSG00000103266	0.143532	0.129988	1	-nan
ENSG00000137193	ENSG00000112245	0.000174202	0.0287577	1	-nan
ENSG00000137193	ENSG00000178053	3.58536e-06	0.0179473	1	-nan
ENSG00000133639	ENSG00000100097	0.173365	0.189923	2	-nan
ENSG00000133639	ENSG00000083845	0.51935	0.706684	1	-nan
ENSG00000133639	ENSG00000130844	0.156942	0.414629	1	-nan
ENSG00000133639	ENSG00000105374	0.314794	0.178563	1	-nan
ENSG00000133639	ENSG00000142541	0.52812	0.672046	5	-nan
ENSG00000133639	ENSG00000128016	0.359388	0.511584	3	-nan
ENSG00000133639	ENSG00000118503	0.260155	0.479277	1	-nan
ENSG00000133639	ENSG00000156508	0.549155	0.685228	5	-nan
ENSG00000133639	ENSG00000231500	0.535764	0.664334	1	-nan
ENSG00000133639	ENSG00000109475	0.528803	0.67156	3	-nan
ENSG00000133639	ENSG00000137441	0.150381	-0.0153758	3	-nan
ENSG00000133639	ENSG00000177954	0.550435	0.664866	4	-nan
ENSG00000133639	ENSG00000116251	0.470898	0.652726	1	-nan
ENSG00000133639	ENSG00000142937	0.512749	0.710147	3	-nan
ENSG00000133639	ENSG00000177606	0.50107	0.186543	1	-nan
ENSG00000133639	ENSG00000115758	0.0570747	0.176681	1	-nan
ENSG00000133639	ENSG00000152518	0.487391	0.736282	7	-nan
ENSG00000133639	ENSG00000115523	0.158842	0.0551725	5	-nan
ENSG00000133639	ENSG00000144713	0.539254	0.682124	3	-nan
ENSG00000133639	ENSG00000198918	0.529702	0.683136	8	-nan
ENSG00000133639	ENSG00000122862	0.35405	0.545392	1	-nan
ENSG00000133639	ENSG00000229117	0.549793	0.660964	5	-nan
ENSG00000133639	ENSG00000122026	0.525518	0.667524	2	-nan
ENSG00000133639	ENSG00000100450	0.121451	0.0887257	13	-nan
ENSG00000133639	ENSG00000100453	0.121944	0.0193602	2	-nan
ENSG00000133639	ENSG00000213741	0.531069	0.680206	2	-nan
ENSG00000133639	ENSG00000170345	0.340999	0.380159	3	-nan
ENSG00000133639	ENSG00000167526	0.542635	0.670225	2	-nan
ENSG00000132600	ENSG00000176182	0.00102794	-0.00750418	1	-nan
ENSG00000131051	ENSG00000142546	0.00487548	0.0646282	1	-nan
ENSG00000131051	ENSG00000205352	0.116801	0.379378	1	-nan
ENSG00000131051	ENSG00000066427	0.00102794	0.0686062	1	-nan
ENSG00000124831	ENSG00000160310	0.0304616	0.0708431	1	-nan
ENSG00000124831	ENSG00000177954	0.169542	0.182236	1	-nan
ENSG00000124831	ENSG00000229117	0.193196	0.179351	1	-nan
ENSG00000124831	ENSG00000139675	0.00188204	0.096639	1	-nan
ENSG00000123219	ENSG00000104228	0.00060101	-0.0229905	1	-nan
ENSG00000120616	ENSG00000123505	0.060536	0.263811	1	-nan
ENSG00000120616	ENSG00000062194	0.106126	0.204402	1	-nan
ENSG00000120616	ENSG00000081307	0.0059148	0.00224502	2	-nan
ENSG00000120616	ENSG00000163444	0.00598882	0.161786	1	-nan
ENSG00000120616	ENSG00000158773	0.000174202	0.0692222	1	-nan
ENSG00000120616	ENSG00000117335	8.88915e-05	0.0152411	1	-nan
ENSG00000120616	ENSG00000055044	0.0899694	0.146321	1	-nan
ENSG00000120616	ENSG00000115687	0.011296	0.114186	1	-nan
ENSG00000120533	ENSG00000124222	0.0179758	0.100048	2	-nan
ENSG00000120533	ENSG00000124256	0.000288058	0.0217736	1	-nan
ENSG00000120533	ENSG00000273559	0.00787491	0.15898	1	-nan
ENSG00000120533	ENSG00000204498	0.000174202	-0.0085721	1	-nan
ENSG00000120533	ENSG00000071073	0.122613	0.138479	1	-nan
ENSG00000116560	ENSG00000105372	0.188351	-0.00444504	1	-nan
ENSG00000116560	ENSG00000108829	0.00541779	0.143688	1	-nan
ENSG00000116560	ENSG00000112306	0.218346	-0.00534033	1	-nan
ENSG00000116560	ENSG00000156508	0.175922	-0.00742386	2	-nan
ENSG00000116560	ENSG00000237441	0.000800181	0.0324352	1	-nan
ENSG00000116560	ENSG00000109475	0.162542	-0.0162325	1	-nan
ENSG00000116560	ENSG00000177954	0.250213	-0.0240288	1	-nan
